Date,Total weeks on chart for top 40
1976-03-04,177
1976-03-11,175
1976-03-18,147
1976-03-25,161
1976-04-01,157
1976-04-08,152
1976-04-15,164
1976-04-22,166
1976-04-29,152
1976-05-06,166
1976-05-13,164
1976-05-20,178
1976-05-27,195
1976-06-03,199
1976-06-10,204
1976-06-17,207
1976-06-24,211
1976-07-01,198
1976-07-08,163
1976-07-15,175
1976-07-22,180
1976-07-29,183
1976-08-05,197
1976-08-12,207
1976-08-19,191
1976-08-26,176
1976-09-02,179
1976-09-09,201
1976-09-16,209
1976-09-23,212
1976-09-30,220
1976-10-07,203
1976-10-14,196
1976-10-21,200
1976-10-28,219
1976-11-04,210
1976-11-11,213
1976-11-18,216
1976-11-25,213
1976-12-02,216
1976-12-09,214
1976-12-16,213
1976-12-23,191
1976-12-30,231
1977-01-06,186
1977-01-13,229
1977-01-20,258
1977-01-27,210
1977-02-03,200
1977-02-10,192
1977-02-17,186
1977-02-24,197
1977-03-03,193
1977-03-10,213
1977-03-17,198
1977-03-24,195
1977-03-31,189
1977-04-07,179
1977-04-14,184
1977-04-21,183
1977-04-28,191
1977-05-05,178
1977-05-12,200
1977-05-19,175
1977-05-26,173
1977-06-02,160
1977-06-09,167
1977-06-16,179
1977-06-23,185
1977-06-30,196
1977-07-07,198
1977-07-14,186
1977-07-21,197
1977-07-28,211
1977-08-04,214
1977-08-11,218
1977-08-18,215
1977-08-25,189
1977-09-01,181
1977-09-08,191
1977-09-15,205
1977-09-22,195
1977-09-29,197
1977-10-06,195
1977-10-13,190
1977-10-20,190
1977-10-27,188
1977-11-03,180
1977-11-10,180
1977-11-17,184
1977-11-24,197
1977-12-01,188
1977-12-08,184
1977-12-15,194
1977-12-22,207
1977-12-29,247
1978-01-05,283
1978-01-12,251
1978-01-19,224
1978-01-26,216
1978-02-02,208
1978-02-09,186
1978-02-16,172
1978-02-23,186
1978-03-02,181
1978-03-09,179
1978-03-16,189
1978-03-23,184
1978-03-30,205
1978-04-06,217
1978-04-13,207
1978-04-20,201
1978-04-27,206
1978-05-04,174
1978-05-11,184
1978-05-18,191
1978-05-25,181
1978-06-01,189
1978-06-08,191
1978-06-15,183
1978-06-22,193
1978-06-29,196
1978-07-06,196
1978-07-13,194
1978-07-20,208
1978-07-27,219
1978-08-03,235
1978-08-10,218
1978-08-17,212
1978-08-24,224
1978-08-31,203
1978-09-07,219
1978-09-14,229
1978-09-21,233
1978-09-28,221
1978-10-05,221
1978-10-12,193
1978-10-19,194
1978-10-26,177
1978-11-02,186
1978-11-09,199
1978-11-16,163
1978-11-23,175
1978-11-30,165
1978-12-07,168
1978-12-14,172
1978-12-21,167
1978-12-28,207
1979-01-04,237
1979-01-11,222
1979-01-18,228
1979-01-25,221
1979-02-01,194
1979-02-08,203
1979-02-15,208
1979-02-22,174
1979-03-01,155
1979-03-08,156
1979-03-15,162
1979-03-22,165
1979-03-29,175
1979-04-05,178
1979-04-12,175
1979-04-19,203
1979-04-26,169
1979-05-03,161
1979-05-10,168
1979-05-17,171
1979-05-24,167
1979-05-31,167
1979-06-07,189
1979-06-14,192
1979-06-21,178
1979-06-28,173
1979-07-05,177
1979-07-12,200
1979-07-19,184
1979-07-26,163
1979-08-02,162
1979-08-09,167
1979-08-16,157
1979-08-23,159
